fund,oneYear,threeYear,fiveYear,tenYear
AMP Aggressive,21.4,16.0,8.9,9.9
AMP Australasian Shares,6.6,6.2,2.5,
AMP Balanced,14.1,11.7,6.0,7.0
AMP Balanced Fund No.2,14.2,11.7,6.0,
AMP Cash,2.3,3.9,3.1,2.1
AMP Conservative,7.2,7.1,3.1,3.8
AMP Defensive Conservative,6.6,6.7,3.0,3.8
AMP Global Fixed Interest,0.7,2.6,-0.8,
AMP Global Select Balanced Growth Fund,18.4,11.8,6.1,7.9
AMP Global Select Conservative Fund,7.8,6.6,2.7,
AMP Global Select Growth Fund,21.5,13.3,7.2,
AMP Growth,18.1,14.2,7.7,8.9
AMP International Shares,24.2,19.9,12.2,
AMP Milford Active Growth,7.3,10.2,,
AMP Milford Aggressive,10.6,11.8,,
AMP Milford Balanced,5.6,8.0,,
AMP Milford Conservative,1.9,5.8,,
AMP Moderate,10.5,8.9,4.2,5.0
AMP Moderate Balanced,12.4,10.3,5.1,6.0
AMP NZ Fixed Interest,4.7,4.8,0.3,
ANZ Balanced,11.3,8.4,4.1,6.0
ANZ Balanced Growth,14.1,9.7,5.1,7.3
ANZ Cash,3.1,4.6,3.8,2.8
ANZ Conservative,5.6,5.8,2.3,3.5
ANZ Conservative Balanced,7.9,6.9,3.1,4.7
ANZ Default High Growth,19.7,,,
ANZ Default Scheme Conservative,5.4,6.3,2.9,4.0
ANZ Default Scheme-Balanced,11.2,8.4,4.1,6.0
ANZ Default Scheme-Balanced Growth,14.1,9.7,5.1,7.3
ANZ Default Scheme-Cash,3.1,4.6,3.7,2.8
ANZ Default Scheme-Conservative Balanced,7.9,6.9,3.1,4.7
ANZ Default Scheme-Growth,17.0,11.0,6.1,8.6
ANZ Growth,17.0,11.0,6.1,8.6
ANZ High Growth,19.7,,,
ASB Aggressive Fund,19.8,,,
ASB Balanced,13.6,11.5,6.4,7.6
ASB Conservative,7.9,7.7,3.6,4.2
ASB Growth,16.9,13.5,7.9,9.3
ASB Moderate,10.5,9.4,4.8,5.5
ASB NZ Cash,2.7,4.3,3.5,2.5
Aurora Conservative Fund,5.0,5.4,,
Aurora Growth Fund,10.5,9.5,,
Aurora Liquidity Fund,2.7,4.2,,
Average,6.4,3.3,4.1,0.67
BNZ Balanced Fund,12.7,11.1,5.9,7.4
BNZ Cash Fund,3.0,4.5,3.7,2.7
BNZ Conservative,5.9,6.6,2.9,3.8
BNZ Default,13.4,11.3,,
BNZ First Home Buyer Fund,5.2,6.1,3.7,3.7
BNZ Growth Fund,16.1,13.1,7.5,9.4
BNZ High Growth Fund,19.5,,,
BNZ Moderate Fund,9.3,8.9,4.5,5.7
Booster Balanced,10.8,8.9,4.9,6.8
Booster Capital Guaranteed,4.1,5.0,3.7,2.6
Booster Conservative Fund,5.9,6.1,3.0,3.9
Booster Default Saver,12.2,10.9,,
Booster Enhanced Cash,2.5,3.8,3.0,2.2
Booster Geared Growth,19.8,15.0,8.2,12.1
Booster Growth,13.6,10.6,6.2,8.5
Booster High Growth,16.6,12.6,7.6,9.9
Booster Moderate,7.2,6.5,3.2,4.5
Booster Shielded Growth,15.8,11.8,6.8,
Booster Socially Responsible Balanced,10.7,9.5,5.1,7.1
Booster Socially Responsible Geared Growth,19.8,16.0,,
Booster Socially Responsible Growth,13.6,11.5,,
Booster Socially Responsible High Growth,17.0,13.9,8.5,11.0
Booster Socially Responsible Moderate,7.1,6.9,,
Evidential Balanced Fund,12.8,,,
Evidential Growth Fund,16.6,,,
Evidential High Growth Fund,19.9,,,
Fisher Funds Conservative Fund,4.6,6.1,2.7,4.0
Fisher Funds Growth Fund,6.4,8.9,4.6,8.4
Fisher Funds Plan Aggressive,6.8,,,
Fisher Funds Plan Balanced,6.6,8.0,4.5,6.9
Fisher Funds Plan Cash,3.0,4.6,3.7,2.9
Fisher Funds Plan CashPlus,2.9,4.3,2.5,2.3
Fisher Funds Plan Conservative,5.0,6.4,2.9,4.4
Fisher Funds Plan Default,16.1,11.5,,
Fisher Funds Plan Defensive Conservative,4.2,6.2,3.7,4.5
Fisher Funds Plan Growth,7.1,8.6,5.3,8.9
Generate Australasian Fund,5.2,,,
Generate Balanced Fund,11.6,10.9,,
Generate CashPlus,3.0,5.4,,
Generate Conservative Fund,6.6,7.4,,
Generate Focused Growth Fund,16.5,15.4,8.6,11.1
Generate Global Fund,21.3,,,
Generate Growth Fund,13.7,13.0,7.3,9.5
Generate Moderate,8.9,9.1,5.2,5.7
Generate Thematic Fund,24.2,,,
GoalsGetter Amova Balanced,7.7,8.6,3.3,
GoalsGetter Amova Cnsv,5.0,6.2,2.6,
GoalsGetter Amova Global Shr,1.2,13.5,8.6,
GoalsGetter Amova Growth,8.8,9.8,3.7,
GoalsGetter Amova NZ Cash,3.1,4.7,3.8,
GoalsGetter Amova NZ Corp Bd,4.9,6.3,2.7,
GoalsGetter Amova SRI Equity,6.3,4.1,2.2,
JMI Wealth Balanced,12.0,9.7,5.4,
JMI Wealth Conservative,7.0,6.6,3.2,
JMI Wealth Growth,13.8,11.3,6.7,
Kernel Balanced Fund,14.9,12.7,,
Kernel Cash Plus Fund,3.5,5.1,,
Kernel Emerging Markets Fund,32.1,,,
Kernel Global ESG,30.4,,,
Kernel Global ESG NZD Hedged,22.1,,,
Kernel Global Infras NZD Hdg,13.5,13.1,,
Kernel Global Infrastructure,20.6,16.3,,
Kernel Global Property NZD Hdg,16.7,10.6,,
Kernel High Growth,22.7,17.1,,
Kernel NZ 20,7.8,4.5,,
Kernel NZ 50 ESG Tilted,7.5,5.1,,
Kernel NZ Bond Fund,6.1,,,
Kernel NZ Commercial Property,5.5,2.2,,
Kernel NZ Small & Mid Cap Opps,9.8,9.0,,
Kernel S&P 500 (unhedged) Fund,30.2,,,
Kernel S&P 500 NZD Hedged,19.5,18.6,,
Kernel S&P Global 100,36.8,26.2,,
Kernel S&P Global 100 NZD Hdg,26.6,21.8,,
Kernel S&P Global Clean Energy,98.4,15.5,,
Kernel S&P Global Div Arstcrts,26.0,18.1,,
Kernel US Bond Fund,1.8,,,
Koura Cash,2.2,3.7,3.2,
Koura Clean Energy,97.9,8.7,,
Koura Emerging Markets Eqs,46.7,23.2,11.0,
Koura Fixed Interest,4.3,6.0,2.4,
Koura NZ Equities,5.3,2.9,1.2,
Koura NZ Property,-0.5,-3.7,,
Koura Rest of World Equities,24.0,16.2,10.8,
Koura Scheme – Koura Bitcoin,-41.9,25.9,,
Koura US Equities,22.1,21.3,13.1,
MAS Aggressive,22.2,14.6,8.5,10.8
MAS Balanced,14.9,11.1,6.0,7.8
MAS Cash,3.5,4.8,3.8,2.8
MAS Conservative,6.9,6.9,2.9,4.1
MAS Global Equities,23.1,15.3,9.1,11.9
MAS Growth,19.0,13.2,7.6,9.6
MAS Moderate,10.7,8.9,4.4,5.9
Mercer Cash,2.8,4.3,3.5,2.5
Mercer Responsible Balanced,11.8,9.7,5.3,6.7
Mercer Responsible Conservativ,6.5,6.4,2.9,3.8
Mercer Responsible Growth,14.7,11.5,6.6,8.5
Mercer Responsible High Growth,17.5,13.1,7.7,9.8
Mercer Responsible Moderate,8.6,7.8,4.1,5.1
Mercer Responsible Shares,18.9,14.2,7.8,10.6
Milford Active Growth Fund,7.8,10.7,7.5,10.2
Milford Aggressive,10.9,11.9,7.7,
Milford Balanced Fund,6.6,8.8,6.0,8.2
Milford Cash Fund,2.8,4.4,3.7,
Milford Conservative Fund,2.4,6.2,3.4,4.7
Milford Moderate Fund,4.3,7.4,4.6,
NZ Defence Force Balanced,14.0,10.6,5.4,6.7
NZ Defence Force Cash,2.6,4.2,3.4,2.4
NZ Defence Force Conservative,6.7,6.3,3.0,3.7
NZ Defence Force Growth,17.3,12.6,6.7,8.3
NZ Defence Force High Growth,20.9,14.7,8.1,9.8
NZ Defence Force Moderate,9.9,8.2,4.0,5.0
NZ Defence Force Shares,22.5,15.7,8.7,10.9
OneAnswer Australasian Prpty,4.7,0.7,-2.8,3.4
OneAnswer Australasian Share,8.0,5.4,2.0,7.2
OneAnswer Balanced,11.2,8.4,4.1,6.0
OneAnswer Balanced Growth,14.1,9.7,5.1,7.3
OneAnswer Cash Fund,3.1,4.6,3.7,2.7
OneAnswer Conservative,5.6,5.8,2.3,3.5
OneAnswer Conservative Balanced,7.9,6.9,3.1,4.7
OneAnswer Growth Fund,17.0,11.0,6.1,8.6
OneAnswer High Growth,19.7,,,
OneAnswer Intl Fxd Int,1.2,3.3,-0.9,0.8
OneAnswer Intl Property,18.1,10.9,3.5,4.3
OneAnswer Intl Share,32.2,17.4,11.6,13.7
OneAnswer NZ Fixed Interest,5.1,5.7,1.6,2.3
OneAnswer Sustainable Int Shr,26.3,19.7,14.5,16.5
Pathfinder Balanced Fund,10.2,9.3,6.1,
Pathfinder Conservative Fund,4.1,5.4,3.6,
Pathfinder Growth Fund,13.5,11.0,7.0,
Pathfinder High Growth Fund,15.9,,,
Pie Aggressive Fund,16.0,,,
Pie Balanced,12.9,11.0,3.6,
Pie Conservative,6.3,7.1,2.7,
Pie Growth,16.0,13.0,3.3,
QuayStreet AU Equity,5.8,9.2,7.0,7.0
QuayStreet Altum,14.2,9.5,6.8,7.6
QuayStreet Balanced,11.6,11.4,8.4,8.1
QuayStreet Conservative,6.1,7.1,4.4,4.8
QuayStreet Fixed Interest,4.5,6.0,2.9,3.3
QuayStreet Growth,14.4,13.3,10.1,9.7
QuayStreet High Growth Fund,18.7,,,
QuayStreet Income,5.0,6.1,4.2,4.6
QuayStreet International Equities,24.0,19.9,15.5,13.9
QuayStreet Intl Equities NZD H Fund,16.3,,,
QuayStreet NZ Equity,6.3,4.0,1.9,7.6
QuayStreet Socially Responsible Inv,9.4,12.0,8.2,7.8
"Return,",5.61,2.23,2.99,4.67
SBS Wealth Cash,2.7,,,
SBS Wealth Focused Growth,24.2,,,
SBS Wealth High Growth,21.2,15.3,9.5,10.5
SBS Wealth Income,2.7,4.0,1.4,1.6
SBS Wealth LS 0-49,21.8,15.5,9.7,10.6
SBS Wealth LS 50-54,17.6,13.2,8.1,8.8
SBS Wealth LS 55-59,13.6,10.8,6.4,7.1
SBS Wealth LS 60-64,9.9,8.6,4.8,5.3
SBS Wealth LS 65+,8.1,7.4,3.9,4.1
Simplicity Balanced Fund,13.4,11.0,6.1,
Simplicity Conservative Fund,6.2,6.5,2.5,
Simplicity Default,13.3,11.0,,
Simplicity Defensive,3.2,4.7,,
Simplicity Growth Fund,17.6,13.8,8.3,
Simplicity High Growth,20.9,16.0,,
Summer Australian Equities,9.9,10.1,8.4,
Summer Balanced Selection,8.1,7.9,4.2,
Summer Conservative Selection,5.8,6.4,3.1,
Summer Global Equities,15.7,14.8,7.7,
Summer Global Fixed Interest,1.9,3.9,1.1,
Summer Growth Selection,10.5,9.4,5.4,
Summer Listed Property,4.2,1.4,-1.9,
Summer New Zealand Cash,2.8,4.4,3.5,
Summer New Zealand Equities,8.0,4.7,2.8,
Summer New Zealand Fixed Int,5.0,5.8,2.2,
SuperLife Aust Dividend,19.6,14.7,10.6,9.5
SuperLife Aust Financials,13.5,22.9,14.2,11.5
SuperLife Aust Mid Cap,19.9,13.1,9.3,11.7
SuperLife Aust Property,13.0,10.7,4.2,5.5
SuperLife Aust Res,66.7,15.1,13.7,16.7
SuperLife Aust Shares,11.3,12.3,8.7,10.4
SuperLife Aust Top 20,24.9,16.3,11.1,11.6
SuperLife Balanced,13.7,10.7,5.9,7.3
SuperLife Conservative,8.4,7.4,3.8,4.9
SuperLife Default,12.1,10.1,,
SuperLife Emerging Mkts,29.8,18.2,7.9,9.5
SuperLife Ethica,13.2,11.1,6.0,7.5
SuperLife Europe,23.3,18.2,12.2,11.5
SuperLife Global Aggregate Bd,1.3,3.1,-0.5,
SuperLife Global Prpty,9.6,7.2,1.2,4.2
SuperLife Growth,17.2,12.9,7.4,8.7
SuperLife High Growth,21.1,15.2,8.8,10.1
SuperLife Income,3.1,3.7,1.2,2.4
SuperLife NZ Bonds,4.8,5.3,2.5,3.3
SuperLife NZ Cash,3.4,4.4,3.5,2.8
SuperLife NZ Dividend,17.9,7.4,4.9,7.3
SuperLife NZ Mid Cap,10.7,7.7,1.8,8.2
SuperLife NZ Property,6.5,2.1,-1.9,4.2
SuperLife NZ Shares,7.8,4.0,1.2,6.0
SuperLife NZ Top 10,7.9,3.4,1.9,7.0
SuperLife NZ Top 50,7.7,4.0,1.2,7.6
SuperLife Overseas Bonds,1.2,2.8,0.5,2.2
SuperLife Overseas Non Govt Bd,2.2,4.2,-0.2,1.3
SuperLife Overseas Shares,30.3,21.6,15.1,14.4
SuperLife Ovrs ShrsCcyH,20.9,18.1,10.6,11.3
SuperLife S&P/ASX 200,19.1,14.1,9.8,
SuperLife S&P/NZX 50,9.2,5.1,1.8,
SuperLife S&P/NZX NZ Gov Bd,6.9,4.5,0.8,
SuperLife Total Wld (NZD H),22.7,18.3,10.4,
SuperLife Total World,32.3,22.1,14.7,14.5
SuperLife UK Cash,4.8,6.3,5.1,2.7
SuperLife US 500,29.3,22.9,17.1,17.1
SuperLife US Large Growth,25.0,24.9,16.8,19.6
SuperLife US Large Value,33.7,20.0,16.2,14.3
SuperLife US Mid Cap,23.8,17.6,11.6,13.6
SuperLife US Small Cap,37.6,18.6,11.3,13.5
Westpac Balanced Fund,13.9,11.4,5.8,7.3
Westpac Cash Fund,3.2,4.7,3.9,2.8
Westpac Conservative Fund,7.5,7.5,3.6,4.3
Westpac Default Balanced,12.3,10.5,,
Westpac Defensive Conservative,6.7,7.0,3.5,4.1
Westpac Growth Fund,17.3,13.4,7.0,8.7
Westpac High Growth Fund,21.4,,,
Westpac Moderate,10.2,9.2,4.6,5.6
koura Strategic High Growth,26.5,,,
